id,file,line,event,label,flow,handler,isCancelCta,isNoop,blocker
1,apps/empire_flutter/app/lib/main.dart,284,onPressed,Retry,callback/action,onRetry,False,False,none
2,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,245,onPressed,,callback/action,_loading ? null : _sendMessage,False,False,none
3,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,435,onTap,,callback/action,() => onFeedback!(true),False,False,none
4,apps/empire_flutter/app/lib/runtime/ai_coach_widget.dart,444,onTap,,callback/action,() => onFeedback!(false),False,False,none
5,apps/empire_flutter/app/lib/runtime/mvl_gate_widget.dart,294,onPressed,,callback/action,_submitting ? null : _submitExplainItBack,False,False,none
6,apps/empire_flutter/app/lib/runtime/mvl_gate_widget.dart,311,onPressed,,callback/action,_requestContestability,False,False,none
7,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,573,onPressed,Switch site,callback/action,() => _showSiteSwitcher(context,False,False,none
8,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,578,onPressed,Switch site,navigate,() => context.push('/settings'),False,False,none
9,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,583,onPressed,Settings,callback/action,() => _showLogoutDialog(context),False,False,none
10,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,614,onPressed,View All,callback/action,() => _showAllActionsSheet(context,False,False,none
11,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,638,onTap,,callback/action,() => _handleCardTap(context,False,False,none
12,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,772,onTap,,callback/action,() {,False,False,none
13,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,793,onPressed,Close,cancel/close,() => Navigator.pop(dialogContext),True,False,none
14,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,797,onPressed,Close,callback/action,() {,True,False,none
15,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,849,onTap,,callback/action,() {,False,False,none
16,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,876,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
17,apps/empire_flutter/app/lib/dashboards/role_dashboard.dart,880,onPressed,Cancel,callback/action,() async {,True,False,none
18,apps/empire_flutter/app/lib/offline/sync_status_widget.dart,76,onPressed,,callback/action,() => sync.retryFailed(),False,False,none
19,apps/empire_flutter/app/lib/router/role_gate.dart,77,onPressed,Go Back,callback/action,() => Navigator.of(context).pop(),True,False,none
20,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,102,onPressed,Refresh,callback/action,onRefresh,False,False,none
21,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,133,onTap,${occ.learnerCount ?? occ.roster.length} students,callback/action,() {,False,False,none
22,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,261,onPressed,All Present,callback/action,() => _markAll(roster,False,False,none
23,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,269,onPressed,All Absent,callback/action,() => _markAll(roster,False,False,none
24,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,316,onPressed,Save Attendance (${_attendance.length}/${roster.length}),callback/action,_attendance.length == roster.length,False,False,none
25,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,429,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.present),False,False,none
26,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,437,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.late),False,False,none
27,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,445,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.absent),False,False,none
28,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,453,onTap,,callback/action,() => onStatusChanged(AttendanceStatus.excused),False,False,none
29,apps/empire_flutter/app/lib/modules/attendance/attendance_page.dart,496,onTap,,callback/action,onTap,False,False,none
30,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,65,onPressed,New Invoice,callback/action,_createInvoice,False,False,none
31,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,116,onPressed,,callback/action,_exportFinancials,False,False,none
32,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,460,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
33,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,464,onPressed,Cancel,callback/action,() {,True,False,none
34,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,561,onPressed,Close,cancel/close,() => Navigator.pop(dialogContext),True,False,none
35,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,660,onPressed,,callback/action,() => _viewInvoice(context),False,False,none
36,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,665,onPressed,,callback/action,() => _sendInvoice(context),False,False,none
37,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,903,onPressed,,cancel/close,() => Navigator.pop(context),True,False,none
38,apps/empire_flutter/app/lib/modules/hq_admin/hq_billing_page.dart,1015,onPressed,,callback/action,_createInvoice,False,False,none
39,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,104,onPressed,New Curriculum,callback/action,() => _showCreateDialog(),False,False,none
40,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,149,onTap,,callback/action,() => _showCurriculumDetails(curriculum),False,False,none
41,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,247,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
42,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,251,onPressed,Close,callback/action,() {,True,False,none
43,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,304,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
44,apps/empire_flutter/app/lib/modules/hq_admin/hq_curriculum_page.dart,306,onPressed,Cancel,callback/action,() {,True,False,none
45,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,163,onPressed,${incident.site} • ${_formatTime(incident.reportedAt)},callback/action,() => _showIncidentDetails(incident),False,False,none
46,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,165,onTap,${incident.site} • ${_formatTime(incident.reportedAt)},callback/action,() => _showIncidentDetails(incident),False,False,none
47,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,209,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
48,apps/empire_flutter/app/lib/modules/hq_admin/hq_safety_page.dart,214,onPressed,Close,callback/action,() {,True,False,none
49,apps/empire_flutter/app/lib/modules/hq_admin/hq_feature_flags_page.dart,82,onPressed,Feature Flags,callback/action,() {,False,False,none
50,apps/empire_flutter/app/lib/modules/hq_admin/hq_analytics_page.dart,89,onPressed,,callback/action,_exportReport,False,False,none
51,apps/empire_flutter/app/lib/modules/hq_admin/hq_analytics_page.dart,408,onPressed,View All,callback/action,_showAllTopPerformers,False,False,none
52,apps/empire_flutter/app/lib/modules/hq_admin/hq_analytics_page.dart,450,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
53,apps/empire_flutter/app/lib/modules/hq_admin/hq_analytics_page.dart,454,onPressed,Cancel,callback/action,() {,True,False,none
54,apps/empire_flutter/app/lib/modules/hq_admin/hq_approvals_page.dart,190,onPressed,Reject,callback/action,() => _handleReject(item),False,False,none
55,apps/empire_flutter/app/lib/modules/hq_admin/hq_approvals_page.dart,198,onPressed,Reject,callback/action,() => _handleApprove(item),False,False,none
56,apps/empire_flutter/app/lib/modules/hq_admin/hq_role_switcher_page.dart,48,onPressed,,navigate,() => context.go('/'),False,False,none
57,apps/empire_flutter/app/lib/modules/hq_admin/hq_role_switcher_page.dart,177,onPressed,Exit impersonation,callback/action,() => appState.clearImpersonation(),False,False,none
58,apps/empire_flutter/app/lib/modules/hq_admin/hq_role_switcher_page.dart,341,onTap,,callback/action,() {,False,False,none
59,apps/empire_flutter/app/lib/modules/hq_admin/hq_audit_page.dart,85,onPressed,Audit Logs,callback/action,() => _showFilterDialog(),False,False,none
60,apps/empire_flutter/app/lib/modules/hq_admin/hq_audit_page.dart,89,onPressed,,callback/action,() {,False,False,none
61,apps/empire_flutter/app/lib/modules/hq_admin/hq_audit_page.dart,162,onTap,,callback/action,() => _showLogDetails(log),False,False,none
62,apps/empire_flutter/app/lib/modules/hq_admin/hq_audit_page.dart,228,onTap,,callback/action,() {,False,False,none
63,apps/empire_flutter/app/lib/modules/hq_admin/hq_audit_page.dart,259,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
64,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,55,onTap,,callback/action,() => _openSiteDetail('pilot-sg'),False,False,none
65,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,64,onTap,,callback/action,() => _openSiteDetail('hub-kl'),False,False,none
66,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,73,onTap,,callback/action,() => _openSiteDetail('academy-jkt'),False,False,none
67,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,82,onTap,,callback/action,() => _openSiteDetail('lab-mnl'),False,False,none
68,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,92,onPressed,Add Site,callback/action,_createNewSite,False,False,none
69,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,159,onPressed,,callback/action,() {,False,False,none
70,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,190,onTap,,callback/action,() => setState(() => _filterStatus = 'all'),False,False,none
71,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,197,onTap,,callback/action,() => setState(() => _filterStatus = 'active'),False,False,none
72,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,204,onTap,,callback/action,() => setState(() => _filterStatus = 'onboarding'),False,False,none
73,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,211,onTap,,callback/action,() => setState(() => _filterStatus = 'pending'),False,False,none
74,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,314,onTap,,callback/action,onTap,False,False,none
75,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,515,onTap,,callback/action,onTap,False,False,none
76,apps/empire_flutter/app/lib/modules/hq_admin/hq_sites_page.dart,659,onPressed,,callback/action,() {,False,False,none
77,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,112,onPressed,Refresh,callback/action,() => context.read<UserAdminService>().loadUsers(),False,False,none
78,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,199,onPressed,,callback/action,() {,False,False,none
79,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,219,onTap,,callback/action,() => service.setRoleFilter(null),False,False,none
80,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,224,onTap,,callback/action,() => service.setRoleFilter(role),False,False,none
81,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,233,onTap,,callback/action,() => service.setStatusFilter(null),False,False,none
82,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,238,onTap,,callback/action,() => service.setStatusFilter(status),False,False,none
83,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,311,onTap,,callback/action,() => _showUserDetails(user),False,False,none
84,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,395,onPressed,Add User,callback/action,() => _showCreateUserDialog(),False,False,none
85,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,518,onTap,,callback/action,onTap,False,False,none
86,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,588,onTap,,callback/action,onTap,False,False,none
87,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1051,onTap,,callback/action,() => _showEditUserDialog(context),False,False,none
88,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1058,onTap,,callback/action,() => _toggleStatus(context),False,False,none
89,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1065,onTap,,callback/action,() => _showRoleChangeDialog(context),False,False,none
90,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1163,onTap,,callback/action,() {,False,False,none
91,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1195,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
92,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1199,onPressed,Cancel,callback/action,() {,True,False,none
93,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1268,onTap,,callback/action,onTap,False,False,none
94,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1479,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
95,apps/empire_flutter/app/lib/modules/hq_admin/user_admin_page.dart,1483,onPressed,Cancel,callback/action,_isLoading ? null : _createUser,True,False,none
96,apps/empire_flutter/app/lib/modules/hq_admin/hq_integrations_health_page.dart,20,onPressed,Integrations Health,callback/action,() {,False,False,none
97,apps/empire_flutter/app/lib/modules/hq_admin/hq_integrations_health_page.dart,160,onPressed,Retry,callback/action,() {,False,False,none
98,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,107,onTap,,callback/action,() => _navigateTo('profile'),False,False,none
99,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,113,onTap,,callback/action,() => _showChangePasswordSheet(),False,False,none
100,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,119,onTap,,callback/action,() => _showChangeEmailSheet(),False,False,none
101,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,125,onTap,,callback/action,() => _showChangePhoneSheet(),False,False,none
102,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,168,onTap,,callback/action,() => _showNotificationPreferences(),False,False,none
103,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,192,onTap,,callback/action,() => _showLanguageSelector(),False,False,none
104,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,198,onTap,,callback/action,() => _showTimeZoneSelector(),False,False,none
105,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,221,onTap,,callback/action,() => _openPrivacyPolicy(),False,False,none
106,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,227,onTap,,callback/action,() => _openTermsOfService(),False,False,none
107,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,233,onTap,,callback/action,() => _requestDataDownload(),False,False,none
108,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,247,onTap,,callback/action,() => _showAppVersionDetails(),False,False,none
109,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,253,onTap,,callback/action,() => _openHelpCenter(),False,False,none
110,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,259,onTap,,callback/action,() => _showFeedbackSheet(),False,False,none
111,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,265,onTap,,callback/action,() => _rateApp(),False,False,none
112,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,299,onTap,,callback/action,() => _confirmSignOut(),False,False,none
113,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,307,onTap,,callback/action,() => _confirmDeleteAccount(),False,False,none
114,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,371,onTap,,callback/action,() {,False,False,none
115,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,426,onPressed,Close,cancel/close,() => Navigator.pop(dialogContext),True,False,none
116,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,443,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
117,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,447,onPressed,Cancel,callback/action,() {,True,False,none
118,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,476,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
119,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,480,onPressed,Cancel,callback/action,() {,True,False,none
120,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,508,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
121,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,512,onPressed,Cancel,callback/action,() {,True,False,none
122,apps/empire_flutter/app/lib/modules/settings/settings_page.dart,610,onTap,,callback/action,onTap,False,False,none
123,apps/empire_flutter/app/lib/modules/messages/notifications_page.dart,82,onPressed,Notifications,callback/action,_markAllAsRead,False,False,none
124,apps/empire_flutter/app/lib/modules/messages/notifications_page.dart,148,onTap,,callback/action,() => _handleNotificationTap(notification),False,False,none
125,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,105,onPressed,Mark all read,callback/action,() => service.markAllAsRead(),False,False,none
126,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,184,onTap,,callback/action,() => _openMessage(message),False,False,none
127,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,206,onTap,,callback/action,() => service.setTypeFilter(null),False,False,none
128,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,214,onTap,,callback/action,() => service.setTypeFilter(type),False,False,none
129,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,322,onTap,,callback/action,onTap,False,False,none
130,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,404,onTap,,callback/action,onTap,False,False,none
131,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,697,onPressed,,cancel/close,() => Navigator.pop(context),True,False,none
132,apps/empire_flutter/app/lib/modules/messages/messages_page.dart,738,onPressed,,callback/action,() {,False,False,none
133,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,231,onTap,,callback/action,() => service.setPillarFilter(null),False,False,none
134,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,237,onTap,,callback/action,() => service.setPillarFilter(pillar),False,False,none
135,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,312,onTap,,callback/action,() => _showMissionDetails(mission),False,False,none
136,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,455,onTap,,callback/action,onTap,False,False,none
137,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,526,onTap,,callback/action,onTap,False,False,none
138,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,902,onPressed,,callback/action,() {,False,False,none
139,apps/empire_flutter/app/lib/modules/missions/missions_page.dart,945,onPressed,,callback/action,() {,False,False,none
140,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,88,onPressed,,callback/action,() => Navigator.of(context).pop(),False,False,none
141,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,486,onTap,,callback/action,() => _showHabitDetail(habit),False,False,none
142,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,613,onTap,,callback/action,isCompleted,False,False,none
143,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,672,onPressed,New Habit,callback/action,_showCreateHabitSheet,False,False,none
144,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,800,onPressed,,cancel/close,() => Navigator.pop(context),True,False,none
145,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,1024,onPressed,,cancel/close,() => Navigator.pop(context),True,False,none
146,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,1045,onTap,,callback/action,() => setState(() => _selectedEmoji = emoji),False,False,none
147,apps/empire_flutter/app/lib/modules/habits/habits_page.dart,1180,onPressed,,callback/action,_createHabit,False,False,none
148,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,78,onPressed,,callback/action,() => _showCreateDialog(context),False,False,none
149,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,166,onPressed,,callback/action,() => _showLearnerOptions(context,False,False,none
150,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,186,onTap,Edit Learner,callback/action,() {,False,False,none
151,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,197,onTap,Manage Guardian Links,callback/action,() {,False,False,none
152,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,260,onPressed,,callback/action,() => _showParentOptions(context,False,False,none
153,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,280,onTap,Edit Parent,callback/action,() {,False,False,none
154,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,291,onTap,Manage Learner Links,callback/action,() {,False,False,none
155,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,369,onPressed,,callback/action,() => _confirmDelete(context,False,False,none
156,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,390,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
157,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,394,onPressed,Cancel,callback/action,() async {,True,False,none
158,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,524,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
159,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,528,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
160,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,648,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
161,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,652,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
162,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,799,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
163,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,803,onPressed,Cancel,callback/action,_isSubmitting || _selectedParentId == null || _selectedLearnerId == null,True,False,none
164,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,915,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
165,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,919,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
166,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,1040,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
167,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,1044,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
168,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,36,onPressed,My Listings,callback/action,() => _showCreateListingDialog(context),False,False,none
169,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,101,onPressed,Create Listing,callback/action,() => _showCreateListingDialog(context),False,False,none
170,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,121,onTap,,callback/action,() => _showListingDetails(listing),False,False,none
171,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,305,onPressed,Cancel,callback/action,isSubmitting,True,False,none
172,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,316,onPressed,Cancel,callback/action,isSubmitting,True,False,none
173,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,426,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
174,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,433,onPressed,Close,callback/action,() {,True,False,none
175,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,475,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
176,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,479,onPressed,Cancel,callback/action,() {,True,False,none
177,apps/empire_flutter/app/lib/modules/partner/partner_contracts_page.dart,104,onTap,,callback/action,() => _showContractDetails(contract),False,False,none
178,apps/empire_flutter/app/lib/modules/partner/partner_contracts_page.dart,316,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
179,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,75,onTap,,callback/action,() => _openLearnerDetail(learners[index]),False,False,none
180,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,150,onPressed,,callback/action,() {,False,False,none
181,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,181,onTap,,callback/action,() => setState(() => _selectedSession = 'all'),False,False,none
182,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,190,onTap,,callback/action,() => setState(() => _selectedSession = session.id),False,False,none
183,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,276,onTap,,callback/action,onTap,False,False,none
184,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,424,onTap,,callback/action,onTap,False,False,none
185,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,596,onPressed,Message,cancel/close,() => Navigator.pop(context),True,False,none
186,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,612,onPressed,Full Profile,cancel/close,() => Navigator.pop(context),True,False,none
187,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,58,onPressed,Learner Supports,callback/action,_showSearchDialog,False,False,none
188,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,154,onTap,,callback/action,() => _showSupportDetails(support),False,False,none
189,apps/empire_flutter/app/lib/modules/educator/educator_learner_supports_page.dart,365,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
